reg_id,reason
AUS,country-level aggregate; analysis is subnational only
AUT,country-level aggregate; analysis is subnational only
BEL,country-level aggregate; analysis is subnational only
CAN,country-level aggregate; analysis is subnational only
CHE,country-level aggregate; analysis is subnational only
CHL,country-level aggregate; analysis is subnational only
CZE,country-level aggregate; analysis is subnational only
DEU,country-level aggregate; analysis is subnational only
DNK,country-level aggregate; analysis is subnational only
ESP,country-level aggregate; analysis is subnational only
EST,country-level aggregate; analysis is subnational only
FIN,country-level aggregate; analysis is subnational only
FRA,country-level aggregate; analysis is subnational only
GBR,country-level aggregate; analysis is subnational only
GRC,country-level aggregate; analysis is subnational only
HUN,country-level aggregate; analysis is subnational only
IRL,country-level aggregate; analysis is subnational only
ISL,country-level aggregate; analysis is subnational only
ISR,country-level aggregate; analysis is subnational only
ITA,country-level aggregate; analysis is subnational only
JPN,country-level aggregate; analysis is subnational only
KOR,country-level aggregate; analysis is subnational only
LUX,country-level aggregate; analysis is subnational only
MEX,country-level aggregate; analysis is subnational only
NLD,country-level aggregate; analysis is subnational only
NOR,country-level aggregate; analysis is subnational only
NZL,country-level aggregate; analysis is subnational only
POL,country-level aggregate; analysis is subnational only
PRT,country-level aggregate; analysis is subnational only
SVK,country-level aggregate; analysis is subnational only
SVN,country-level aggregate; analysis is subnational only
SWE,country-level aggregate; analysis is subnational only
TUR,country-level aggregate; analysis is subnational only
USA,country-level aggregate; analysis is subnational only
